source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
mRP-RPLC_IMAC_Replicate 1_Fraction 10.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 1_Fraction 10.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 1_Fraction 10.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 1_Fraction 10.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 2.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 2_Fraction 2.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 2.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 2.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 19.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_TiO2_Replicate 2_Fraction 19.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 19.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 19.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 1_Fraction 10.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_TiO2_Replicate 1_Fraction 10.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 10.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 10.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 25.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 2_Fraction 25.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 25.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 25.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 2_Fraction 31.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 2_Fraction 31.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 2_Fraction 31.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 2_Fraction 31.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 23.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 1_Fraction 23.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 23.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 23.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 1_Fraction 21.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 1_Fraction 21.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 1_Fraction 21.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 1_Fraction 21.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 1_Fraction 3.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_TiO2_Replicate 1_Fraction 3.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 3.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 3.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 15.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_TiO2_Replicate 2_Fraction 15.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 15.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 15.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 38.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 1_Fraction 38.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 38.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 38.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 1_Fraction 38.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 1_Fraction 38.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 1_Fraction 38.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 1_Fraction 38.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 1_Fraction 29.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_TiO2_Replicate 1_Fraction 29.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 29.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 29.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 26.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 1_Fraction 26.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 26.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 26.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 29.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 2_Fraction 29.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 29.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 29.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 2_Fraction 4.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 2_Fraction 4.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 2_Fraction 4.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 2_Fraction 4.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 27.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 2_Fraction 27.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 27.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 27.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 1_Fraction 11.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_TiO2_Replicate 1_Fraction 11.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 11.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 11.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 22.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 1_Fraction 22.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 22.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 22.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 1_Fraction 8.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_TiO2_Replicate 1_Fraction 8.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_TiO2_Replicate 1_Fraction 8.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 1_Fraction 8.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 22.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_TiO2_Replicate 2_Fraction 22.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 22.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 22.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 26.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	mRP-RPLC_IMAC_Replicate 2_Fraction 26.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 26.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 26.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 2_Fraction 10.pride	homo sapiens	Epithelial cell	MDA-MB-231 cell	Breast cancer	enrichment of phosphorylated protein	MDA-MB-231	CVCL_0062	MDA-MB-231	1	SCX-RPLC_IMAC_Replicate 2_Fraction 10.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=waters instrument model;AC=MS:1000126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	30 ppm	0.2 Da	strong cation-exchange chromatography (scx)	1	1	SCX-RPLC_IMAC_Replicate 2_Fraction 10.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 2_Fraction 10.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
