source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
201_TiO2_Ab_0_15_30_60_120_1440_Fr02	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	201_TiO2_Ab_0_15_30_60_120_1440_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	2	1	201_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/201_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
202_TiO2_Ab_0_15_30_60_120_1440_Fr02	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	202_TiO2_Ab_0_15_30_60_120_1440_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	2	1	202_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/202_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
205_TiO2_Ab_0_15_30_60_120_1440_Fr02	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	2	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/205_TiO2_Ab_0_15_30_60_120_1440_Fr02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
202_TiO2_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	202_TiO2_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	202_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/202_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
207_IMAC_Ab_0_15_30_60_120_1440_Fr01	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/207_IMAC_Ab_0_15_30_60_120_1440_Fr01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
205_TiO2_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/205_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
201_IMAC_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	201_IMAC_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	201_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/201_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
203_IMAC_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	203_IMAC_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	203_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/203_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
204_IMAC_Ab_0_15_30_60_120_1440_Fr04	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	204_IMAC_Ab_0_15_30_60_120_1440_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	4	1	204_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/204_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
203_TiO2_Ab_0_15_30_60_120_1440_Fr04	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	203_TiO2_Ab_0_15_30_60_120_1440_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	4	1	203_TiO2_Ab_0_15_30_60_120_1440_Fr04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/203_TiO2_Ab_0_15_30_60_120_1440_Fr04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
204_TiO2_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	204_TiO2_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	204_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/204_TiO2_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
207_IMAC_Ab_0_15_30_60_120_1440_Fr04	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	4	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/207_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
202_IMAC_Ab_0_15_30_60_120_1440_Fr03	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	202_IMAC_Ab_0_15_30_60_120_1440_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	3	1	202_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/202_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
208_IMAC_Ab_0_15_30_60_120_1440_Fr06	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	208_IMAC_Ab_0_15_30_60_120_1440_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	208_IMAC_Ab_0_15_30_60_120_1440_Fr06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/208_IMAC_Ab_0_15_30_60_120_1440_Fr06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
206_IMAC_Ab_0_15_30_60_120_1440_Fr03	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	206_IMAC_Ab_0_15_30_60_120_1440_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	3	1	206_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/206_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
201_TiO2_Ab_0_15_30_60_120_1440_Fr06	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	201_TiO2_Ab_0_15_30_60_120_1440_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	201_TiO2_Ab_0_15_30_60_120_1440_Fr06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/201_TiO2_Ab_0_15_30_60_120_1440_Fr06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
204_IMAC_Ab_0_15_30_60_120_1440_Fr06	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	204_IMAC_Ab_0_15_30_60_120_1440_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	204_IMAC_Ab_0_15_30_60_120_1440_Fr06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/204_IMAC_Ab_0_15_30_60_120_1440_Fr06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
207_IMAC_Ab_0_15_30_60_120_1440_Fr03	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	3	1	207_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/207_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
209_IMAC_Ab_0_15_30_60_120_1440_Fr05	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	209_IMAC_Ab_0_15_30_60_120_1440_Fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	209_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/209_IMAC_Ab_0_15_30_60_120_1440_Fr05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
205_TiO2_Ab_0_15_30_60_120_1440_Fr06	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	205_TiO2_Ab_0_15_30_60_120_1440_Fr06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/205_TiO2_Ab_0_15_30_60_120_1440_Fr06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
208_IMAC_Ab_0_15_30_60_120_1440_Fr04	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	208_IMAC_Ab_0_15_30_60_120_1440_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	4	1	208_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/208_IMAC_Ab_0_15_30_60_120_1440_Fr04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
203_IMAC_Ab_0_15_30_60_120_1440_Fr03	homo sapiens	Cell suspension culture	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	203_IMAC_Ab_0_15_30_60_120_1440_Fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	0.8 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	3	1	203_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002871/203_IMAC_Ab_0_15_30_60_120_1440_Fr03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Cell suspension culture
