source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AG_40_140min_1200ng_run3.msf	AG_40_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_40_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_40_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_4_140min_1200ng_run3.msf	AG_4_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_4_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_4_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_4_140min_1200ng_run3	AG_4_140min_1200ng_run3	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_4_140min_1200ng_run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_4_140min_1200ng_run3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_5_140min_1200ng_run3.msf	AG_5_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_5_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_5_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_5_140min_1200ng_run3	AG_5_140min_1200ng_run3	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_5_140min_1200ng_run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_5_140min_1200ng_run3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_6_140min_1200ng_run3.msf	AG_6_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_6_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_6_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_7_140min_1200ng_run3.msf	AG_7_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_7_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_7_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_8_140min_1200ng_run3	AG_8_140min_1200ng_run3	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_8_140min_1200ng_run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_8_140min_1200ng_run3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_9_140min_1200ng_run3.msf	AG_9_140min_1200ng_run3.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_9_140min_1200ng_run3.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_9_140min_1200ng_run3.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro1_1200ng_140min_Run1.msf	AG_CPUinvitro1_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro1_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro1_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro1_1200ng_140min_Run1	AG_CPUinvitro1_1200ng_140min_Run1	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro1_1200ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro1_1200ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro2_1200ng_140min_Run1	AG_CPUinvitro2_1200ng_140min_Run1	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro2_1200ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro2_1200ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro3_1200ng_140min_Run1.msf	AG_CPUinvitro3_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro3_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro3_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro3_1200ng_140min_Run1	AG_CPUinvitro3_1200ng_140min_Run1	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro3_1200ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro3_1200ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro4_1200ng_140min_Run1.msf	AG_CPUinvitro4_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro4_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro4_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvitro4_1200ng_140min_Run1	AG_CPUinvitro4_1200ng_140min_Run1	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvitro4_1200ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvitro4_1200ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvivo1_1200ng_140min_Run1.msf	AG_CPUinvivo1_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvivo1_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvivo1_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvivo2_1200ng_140min_Run1.msf	AG_CPUinvivo2_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvivo2_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvivo2_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvivo2_1200ng_140min_Run1	AG_CPUinvivo2_1200ng_140min_Run1	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvivo2_1200ng_140min_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvivo2_1200ng_140min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
AG_CPUinvivo3_1200ng_140min_Run1.msf	AG_CPUinvivo3_1200ng_140min_Run1.msf	rhizosphere metagenome	Root	not applicable	not available	Differential_proteomics_of_bacteria_grown_in_vitro_and_in_planta_reveals_genes_used_during_growth_on_maize_roots	rhizosphere soil	rhizosphere soil	7.6, 0.1	not available	not available	not available	rhizosphere microbiome	1	AG_CPUinvivo3_1200ng_140min_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	AG_CPUinvivo3_1200ng_140min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	Root
