source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20121105_FI_N_term_List_sol_24_2	listeria monocytogenes egd	not available	not applicable	Listeriosis	2	20121105_FI_N_term_List_sol_24_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20121105_FI_N_term_List_sol_24_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20121105_FI_N_term_List_sol_24_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121105_FI_N_term_List_sol_28_9	listeria monocytogenes egd	not available	not applicable	Listeriosis	9	20121105_FI_N_term_List_sol_28_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20121105_FI_N_term_List_sol_28_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20121105_FI_N_term_List_sol_28_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130607_FI_list_act_gluc_sol_24_11	listeria monocytogenes egd	not available	not applicable	Listeriosis	11	20130607_FI_list_act_gluc_sol_24_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130607_FI_list_act_gluc_sol_24_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130607_FI_list_act_gluc_sol_24_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130513_FI_list_act_tryp_sol_20_2	listeria monocytogenes egd	not available	not applicable	Listeriosis	2	20130513_FI_list_act_tryp_sol_20_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130513_FI_list_act_tryp_sol_20_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130513_FI_list_act_tryp_sol_20_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121109_FI_N_term_List_insol_20_8	listeria monocytogenes egd	not available	not applicable	Listeriosis	8	20121109_FI_N_term_List_insol_20_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20121109_FI_N_term_List_insol_20_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20121109_FI_N_term_List_insol_20_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130524_FI_list_act_tryp_insol_24_5	listeria monocytogenes egd	not available	not applicable	Listeriosis	5	20130524_FI_list_act_tryp_insol_24_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130524_FI_list_act_tryp_insol_24_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130524_FI_list_act_tryp_insol_24_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121105_FI_N_term_List_sol_28_7	listeria monocytogenes egd	not available	not applicable	Listeriosis	7	20121105_FI_N_term_List_sol_28_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20121105_FI_N_term_List_sol_28_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20121105_FI_N_term_List_sol_28_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130524_FI_list_act_tryp_insol_28_1	listeria monocytogenes egd	not available	not applicable	Listeriosis	1	20130524_FI_list_act_tryp_insol_28_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130524_FI_list_act_tryp_insol_28_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130524_FI_list_act_tryp_insol_28_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130713_FI_list_act_gluc_insol_20_2	listeria monocytogenes egd	not available	not applicable	Listeriosis	2	20130713_FI_list_act_gluc_insol_20_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130713_FI_list_act_gluc_insol_20_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130713_FI_list_act_gluc_insol_20_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130524_FI_list_act_tryp_insol_28_6	listeria monocytogenes egd	not available	not applicable	Listeriosis	6	20130524_FI_list_act_tryp_insol_28_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130524_FI_list_act_tryp_insol_28_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130524_FI_list_act_tryp_insol_28_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130713_FI_list_act_gluc_insol_24_1	listeria monocytogenes egd	not available	not applicable	Listeriosis	1	20130713_FI_list_act_gluc_insol_24_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130713_FI_list_act_gluc_insol_24_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130713_FI_list_act_gluc_insol_24_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130524_FI_list_act_tryp_insol_28_7	listeria monocytogenes egd	not available	not applicable	Listeriosis	7	20130524_FI_list_act_tryp_insol_28_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130524_FI_list_act_tryp_insol_28_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130524_FI_list_act_tryp_insol_28_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130607_FI_list_act_gluc_sol_20_9	listeria monocytogenes egd	not available	not applicable	Listeriosis	9	20130607_FI_list_act_gluc_sol_20_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	0.5 Da	1	1	20130607_FI_list_act_gluc_sol_20_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD000890/20130607_FI_list_act_gluc_sol_20_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
