source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SC1612_2_7_1	SC1612_2_7_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_2_7_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_2_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_2_8_1	SC1612_2_8_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_2_8_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_2_8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_1_1	SC1612_3_1_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_2_1	SC1612_3_2_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_2_2	SC1612_3_2_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_3_2	SC1612_3_3_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_4_1	SC1612_3_4_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_4_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_4_2	SC1612_3_4_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_4_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_5_2	SC1612_3_5_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_5_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_5_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_6_1	SC1612_3_6_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_6_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_6_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_6_2	SC1612_3_6_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_6_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_7_1	SC1612_3_7_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_7_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_8_1	SC1612_3_8_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_8_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_8_2	SC1612_3_8_2	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_8_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
SC1612_3_9_1	SC1612_3_9_1	Phaeocystis globosa	Whole body	not applicable	not available	Elucidating_colony_bloom_formation_mechanism_of_a_harmful_alga_Phaeocystis_globosa_Prymnesiophyceae_using_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	SC1612_3_9_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SC1612_3_9_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Whole body
