source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[mock community]	characteristics[mock community composition]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[ms2 mass analyzer]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[expected organism list]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
d13_24_hTT_II	d13_24_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d13_24_hTT_II	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d13_24_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d1_12_hTT_II	d1_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d1_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d1_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d2_12_hTT_II	d2_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d2_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d2_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d14_24_hTT_II	d14_24_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d14_24_hTT_II	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d14_24_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d8_48_hTT_II	d8_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d8_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d8_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d3_24_hTT_I	d3_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d3_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d3_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d6_48_hTT_II	d6_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d6_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d6_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d14_48_hTT_II	d14_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d14_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d14_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d5_12_hTT_II	d5_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d5_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d5_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d4_24_hTT_II	d4_24_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d4_24_hTT_II	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d4_24_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d1_24_hTT_II	d1_24_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d1_24_hTT_II	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d1_24_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d12_24_hTT_I	d12_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d12_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d12_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d13_12_hTT_II	d13_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d13_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d13_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d10_24_hTT_II	d10_24_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d10_24_hTT_II	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d10_24_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d8_24_hTT_I	d8_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d8_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d8_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d2_48_hTT_II	d2_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d2_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d2_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d2_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d1_24_hTT_I	d1_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d1_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d1_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d5_12_hTT_I	d5_12_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d5_12_hTT_I	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d5_12_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d12_48_hTT_II	d12_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d12_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d12_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
