source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
phospho_exp4_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	phospho_exp4_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_16	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	16	phospho_exp2_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp5_repeat_2	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	2	phospho_exp5_repeat_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp5_repeat_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp5_repeat_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_repeat_19	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	19	phospho_exp1_repeat_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_repeat_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_repeat_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp2_19	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	19	phospho_exp2_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp2_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp2_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_repeat_7	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	7	phospho_exp3_repeat_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_repeat_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_repeat_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp1_1	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	1	proteomics_exp1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_13	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	13	phospho_exp3_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp4_20	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	20	phospho_exp4_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp4_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp4_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_18	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	18	phospho_exp3_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_repeat_3	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	3	phospho_exp3_repeat_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_repeat_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_repeat_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp3_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	proteomics_exp3_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp3_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp3_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp3_6	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	6	phospho_exp3_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp3_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp3_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp2_4	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	4	proteomics_exp2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_14	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	14	phospho_exp1_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
proteomics_exp1_repeat_9	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	9	proteomics_exp1_repeat_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	proteomics_exp1_repeat_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/proteomics_exp1_repeat_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
phospho_exp1_repeat_11	mus musculus	Cell culture	not applicable	Disease free	enrichment of phosphorylated protein	11	phospho_exp1_repeat_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	phospho_exp1_repeat_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002545/phospho_exp1_repeat_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
