source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[bait]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[bait]	factor value[genotype]
HeLa_NEDD1_WT_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	NEDD1	mVenus-NEDD1 wild type	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_2	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	NEDD1	mVenus-NEDD1 wild type
HeLa_NEDD1_WT_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	NEDD1	mVenus-NEDD1 wild type	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_3	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	NEDD1	mVenus-NEDD1 wild type
HeLa_NEDD1_WT_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	NEDD1	mVenus-NEDD1 wild type	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_4	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_NEDD1_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	NEDD1	mVenus-NEDD1 wild type
HeLa_WDR33_Mut_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_1	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)
HeLa_WDR33_Mut_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_2	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)
HeLa_WDR33_Mut_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_3	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)
HeLa_WDR33_Mut_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_4	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_Mut_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) motif mutant (residues 420-423, 441-445 and 471-477 mutated)
HeLa_WDR33_WT_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) wild type	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_1	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) wild type
HeLa_WDR33_WT_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) wild type	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_2	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) wild type
HeLa_WDR33_WT_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) wild type	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_3	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) wild type
HeLa_WDR33_WT_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	WDR33	mVenus-WDR33(1-485) wild type	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_4	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_WDR33_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	WDR33	mVenus-WDR33(1-485) wild type
HeLa_YTHDF1_Mut_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_1	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)
HeLa_YTHDF1_Mut_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_2	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)
HeLa_YTHDF1_Mut_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_3	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)
HeLa_YTHDF1_Mut_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_4	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_Mut_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 motif mutant (residues 184-190 mutated)
HeLa_YTHDF1_WT_1	Homo sapiens	uterine cervix	epithelial cell	1	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 wild type	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_1	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 wild type
HeLa_YTHDF1_WT_2	Homo sapiens	uterine cervix	epithelial cell	2	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 wild type	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_2	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 wild type
HeLa_YTHDF1_WT_3	Homo sapiens	uterine cervix	epithelial cell	3	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 wild type	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_3	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 wild type
HeLa_YTHDF1_WT_4	Homo sapiens	uterine cervix	epithelial cell	4	cervical adenocarcinoma	cell line	African American	30Y6M	female	not available	HeLa	CVCL_0030	HeLa	not available	not available	not available	YTHDF1	mVenus-YTHDF1 wild type	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_4	proteomic profiling by mass spectrometry	1	20240223_AST6_EVO9_JJW_60SPD_YTHDF1_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380m/z-980m/z	380	980	3	not available	YTHDF1	mVenus-YTHDF1 wild type
